,Episode,1,2,3,3,3,4,5,6,6,6,7,9,10,11,12,13,14,14,14,14
0,Voted Out,Diane,Jessie,Tie,Deadlock,Carl,Linda,Silas,Tie,Deadlock,Lindsey,Clarence,Kelly,Brandon,Frank,Kim P.,Teresa,Tom,Lex,Kim J.,Ethan
1,Vote,6-2,5-2,4-4,3-3,Tiebreaker,4-3,5-1,3-3,2-2,4-0,8-2,5-4,6-2,6-1,4-2,4-1,3-1,1-0,5-2,5-2
2,Ethan,Diane,Jessie,DNV,DNV,DNV,DNV,Silas,DNV,DNV,DNV,Clarence,Kelly,Brandon,Frank,Kim P.,Teresa,Tom,None,Jury Vote,Jury Vote
3,Kim J.,Diane,Jessie,DNV,DNV,DNV,DNV,Silas,DNV,DNV,DNV,Clarence,Kelly,Brandon,Frank,Kim P.,Teresa,Tom,Lex,Jury Vote,Jury Vote
4,Lex,Diane,Jessie,DNV,DNV,DNV,DNV,DNV,Lindsey,Lindsey,DNV,Clarence,Kelly,Frank,Frank,Kim P.,Teresa,Tom,None,OOTG,Ethan
5,Tom,Clarence,Clarence,DNV,DNV,DNV,DNV,DNV,Lindsey,None,DNV,Clarence,Kelly,Brandon,Frank,Kim P.,Teresa,Lex,OOTG,OOTG,Ethan
6,Teresa,DNV,DNV,Lindsey,Lindsey,DNV,Silas,Silas,DNV,DNV,DNV,Lex,Lex,Brandon,Frank,Lex,Tom,OOTG,OOTG,OOTG,Ethan
7,Kim P.,DNV,DNV,Carl,Carl,DNV,Linda,DNV,Tom,Tom,DNV,Clarence,Lex,Brandon,Frank,Lex,OOTG,OOTG,OOTG,Kim J.,OOTG
8,Frank,DNV,DNV,Lindsey,Lindsey,DNV,Silas,Silas,DNV,DNV,DNV,Clarence,Lex,Brandon,Kim J.,OOTG,OOTG,OOTG,OOTG,OOTG,Ethan
9,Brandon,DNV,DNV,Carl,Carl,DNV,Linda,DNV,Tom,Tom,DNV,Clarence,Kelly,Frank,OOTG,OOTG,OOTG,OOTG,OOTG,Kim J.,OOTG
10,Kelly,Diane,Jessie,DNV,DNV,DNV,DNV,DNV,Lindsey,Lindsey,DNV,Clarence,Lex,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Ethan
11,Clarence,Diane,Jessie,DNV,DNV,DNV,DNV,Silas,DNV,DNV,DNV,Lex,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Lindsey,DNV,DNV,Carl,None,DNV,Linda,DNV,Tom,None,Voted Out,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Silas,DNV,DNV,Carl,Carl,DNV,Linda,Frank,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Linda,DNV,DNV,Lindsey,Lindsey,DNV,Silas,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Carl,DNV,DNV,Lindsey,None,Voted Out,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Jessie,Diane,Clarence,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Diane,Clarence,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
