,Episode,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,14,14,14,14,14,14,14
0,Voted Out,Vytas,Shirin,Peih-Gee,Jeff,Monica,Terry,Woo,Kass,Andrew,Kelly,Ciera,Stephen,Joe,Abi-Maria,Null,Deadlock,Kimmi,Keith,Kelley,Tasha,Spencer,Jeremy
1,Vote,6-4,5-4,4-2,4-1,3-2,No ,4-3,6-4,3-0,6-3,3-2,4-3,6-1,4-2,0-0,3-3,4-0,3-2,3-1,10-,10-,10-
2,Jeremy,DNV,DNV,DNV,DNV,Monica,DNV,DNV,Ciera,Kelley,Kelly,Ciera,Joe,Joe,Abi-Maria,Kelley,Kimmi,Kimmi,Keith,Kelley,Jury Vote,Jury Vote,Jury Vote
3,Spencer,Vytas,Shirin,DNV,DNV,Kelly,DNV,Woo,Ciera,Kelley,Kelly,Stephen,Stephen,Joe,Abi-Maria,Kelley,Kimmi,Kimmi,Keith,Kelley,Jury Vote,Jury Vote,Jury Vote
4,Tasha,DNV,DNV,Peih-Gee,Jeff,DNV,DNV,DNV,Kass,Kelley,Ciera,Stephen,Abi-Maria,Joe,Abi-Maria,Kelley,Kimmi,None,Keith,Kelley,Jury Vote,Jury Vote,Jury Vote
5,Kelley,Vytas,Spencer,DNV,DNV,DNV,DNV,DNV,Kass,Andrew,Kelly,Kimmi,Stephen,Joe,Tasha,Jeremy,Tasha,Kimmi,Spencer,Spencer,OOTG,OOTG,Jeremy
6,Keith,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Kass,Kelley,Kelley,Stephen,Stephen,Tasha,Tasha,Jeremy,Tasha,Kimmi,Spencer,OOTG,OOTG,OOTG,Jeremy
7,Kimmi,DNV,DNV,DNV,DNV,Monica,DNV,DNV,Kass,Kelley,Ciera,Ciera,Abi-Maria,Joe,Abi-Maria,Jeremy,Tasha,None,OOTG,OOTG,OOTG,OOTG,Jeremy
8,Abi-Maria,Vytas,Spencer,Peih-Gee,Jeff,DNV,DNV,Woo,Tasha,Andrew,Kelly,Stephen,Stephen,Joe,Keith,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
9,Joe,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Ciera,Kelley,Kelley,Stephen,None4,Abi-Maria,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
10,Stephen,DNV,DNV,DNV,DNV,Monica,DNV,DNV,Kass,Kelley,Kelly,Ciera,Joe,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
11,Stephen,DNV,DNV,DNV,DNV,Monica,DNV,DNV,Kass,Kelley,Kelly,Ciera,Abi-Maria,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
12,Ciera,DNV,DNV,DNV,DNV,DNV,DNV,Woo,Andrew,Andrew,Kelly,Kimmi,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
13,Kelly,Abi-Maria,Shirin,DNV,DNV,Spencer,DNV,Spencer,Ciera,Kelley,Ciera,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
14,Andrew,DNV,DNV,Peih-Gee,Jeff,DNV,DNV,Spencer,Kass,Kelley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
15,Kass,DNV,DNV,DNV,DNV,DNV,DNV,Woo,Tasha,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Jeremy
16,Woo,Abi-Maria,Shirin,Abi-Maria,Jeff,DNV,DNV,Spencer,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Terry,Abi-Maria,Spencer,DNV,DNV,DNV,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Monica,DNV,DNV,DNV,DNV,Kelly,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Jeff,Vytas,Shirin,Peih-Gee,Woo,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Peih-Gee,Vytas,Shirin,Abi-Maria,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Shirin,Vytas,Spencer,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
22,Vytas,Abi-Maria,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
