,Episode,1,2,3,3,4,4,5,6,7,7,8,9,10,11,11,12,12,13,14,14,14,14,14
0,Voted Out,Francesca,Allie,Tie,Hope,Shamar,Laura,Brandon,Matt,Tie,Julia,Corinne,Michael,Phillip,Tie,Malcolm,Reynold,Andrea,Brenda,Erik,Eddie,Sherri,Dawn,Cochran
1,Vote,6-4,6-4,3-3,5-1,No ,6-0,8-1,4-2,3-3,4-0,7-5,7-3,4-0,3-3,6-0,4-2,3-2,3-2,No ,3-1,8-0,8-0,8-0
2,Cochran,Francesca,DNV,DNV,DNV,DNV,DNV,Brandon,Matt,Michael,Julia,Corinne,Michael,Malcolm,Malcolm,Malcolm,Eddie,Eddie,Brenda,DNV,Eddie,Jury Vote,Jury Vote,Jury Vote
3,Dawn,Francesca,DNV,DNV,DNV,DNV,DNV,Brandon,Matt,Julia,Julia,Corinne,Michael,Eddie,Reynold,Malcolm,Reynold,Eddie,Brenda,DNV,Eddie,Jury Vote,Jury Vote,Jury Vote
4,Sherri,DNV,Allie,Hope,Hope,DNV,Laura,DNV,DNV,DNV,DNV,Corinne,Michael,Eddie,Reynold,Malcolm,Reynold,Andrea,Brenda,DNV,Eddie,Jury Vote,Jury Vote,Jury Vote
5,Eddie,DNV,Shamar,Shamar,None,DNV,Laura,DNV,DNV,DNV,DNV,Sherri,Andrea,Phillip,Andrea,Malcolm,Sherri,Brenda,Erik,DNV,Dawn,OOTG,OOTG,Cochran
6,Erik,Andrea,DNV,DNV,DNV,DNV,DNV,Brandon,DNV,DNV,DNV,Corinne,Michael,Phillip,Malcolm,Malcolm,Eddie,Andrea,Eddie,Evacuated,OOTG,OOTG,OOTG,Cochran
7,Brenda,Andrea,DNV,DNV,DNV,DNV,DNV,Brandon,DNV,DNV,DNV,Corinne,Michael,Eddie,Reynold,Malcolm,Reynold,Andrea,Eddie,OOTG,OOTG,OOTG,OOTG,Cochran
8,Andrea,Francesca,DNV,DNV,DNV,DNV,DNV,Brandon,DNV,DNV,DNV,Corinne,Michael,Eddie,Malcolm,None,Reynold,Brenda,OOTG,OOTG,OOTG,OOTG,OOTG,Cochran
9,Reynold,DNV,Shamar,Shamar,Shamar,DNV,Laura,DNV,DNV,DNV,DNV,Sherri,Andrea,Phillip,Andrea,None,Erik,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Cochran
10,Malcolm,Francesca,DNV,DNV,DNV,DNV,DNV,Brandon,DNV,DNV,DNV,Sherri,Reynold,Phillip,Andrea,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Cochran
11,Phillip,Francesca,DNV,DNV,DNV,DNV,DNV,Brandon,Matt,Michael,Julia,Corinne,Michael,Malcolm,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Cochran
12,Michael,DNV,Allie,Eddie,Hope,DNV,Laura,DNV,Julia,Julia,None,Sherri,Andrea,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Cochran
13,Corinne,Francesca,DNV,DNV,DNV,DNV,DNV,Brandon,Matt,Julia,Julia,Sherri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Julia,DNV,Allie,Hope,Hope,DNV,Laura,DNV,Dawn,Michael,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Matt,DNV,Allie,Eddie,Hope,DNV,Laura,DNV,Julia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Brandon,Andrea,DNV,DNV,DNV,DNV,DNV,Phillip,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Laura,DNV,Allie,Hope,Hope,DNV,Reynold,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Shamar,DNV,Allie,Eddie,None,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Hope,DNV,Shamar,Shamar,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Allie,DNV,Shamar,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Francesca,Andrea,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
