,Episode,1,2,3,4,5,6,6,7,8,9,10,11,12,13,14,14,14,14
0,Voted Out,Jim,Morgan,Brianna,Brooke,Blake,Margaret,Brian,Amy,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Lydia,Rafe,Stephenie,Danni
1,Vote,8-1,8-1,7-1,5-3,5-2,6-1,5-1,4-1,6-4,6-2,6-2,6-1,4-2,4-1,3-1,1-0,6-1,6-1
2,Danni,Jim,DNV,DNV,DNV,Blake,DNV,Brian,Amy,Jamie,Stephenie,Jamie,Gary,Judd,Cindy,Lydia,Rafe,Jury Vote,Jury Vote
3,Stephenie,DNV,Morgan,Brianna,Brooke,DNV,Margaret,DNV,DNV,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Lydia,None,Jury Vote,Jury Vote
4,Rafe,DNV,Morgan,Brianna,Brooke,DNV,Margaret,DNV,DNV,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Lydia,None,Stephenie,OOTG
5,Lydia,DNV,Morgan,Brianna,Brooke,DNV,Margaret,DNV,DNV,Brandon,Bobby Jon,Jamie,Gary,Judd,Cindy,Danni,OOTG,OOTG,Danni
6,Cindy,Jim,DNV,DNV,Lydia,DNV,Margaret,DNV,DNV,Brandon,Bobby Jon,Jamie,Gary,Lydia,Rafe,OOTG,OOTG,OOTG,Danni
7,Judd,Jim,DNV,DNV,Brooke,DNV,Margaret,DNV,DNV,Brandon,Bobby Jon,Gary,Gary,Lydia,OOTG,OOTG,OOTG,OOTG,Danni
8,Gary,DNV,Morgan,Brianna,DNV,Blake,DNV,Brian,Amy,Jamie,Cindy,Jamie,Cindy,OOTG,OOTG,OOTG,OOTG,OOTG,Danni
9,Jamie,DNV,Morgan,Brianna,Brooke,DNV,Margaret,DNV,DNV,Brandon,Bobby Jon,Gary,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Danni
10,Bobby Jon,Jim,DNV,DNV,DNV,Blake,DNV,Brian,Amy,Jamie,Stephenie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Danni
11,Brandon,Jim,DNV,DNV,DNV,Brian,DNV,Brian,Amy,Jamie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Amy,DNV,Morgan,Brianna,DNV,Blake,DNV,Brian,Bobby Jon,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Brian,DNV,Morgan,Brianna,DNV,Blake,DNV,Bobby Jon,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Margaret,Jim,DNV,DNV,Lydia,DNV,Judd,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Blake,Jim,DNV,DNV,DNV,Brian,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Brooke,Jim,DNV,DNV,Lydia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Brianna,DNV,Morgan,Lydia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Morgan,DNV,Lydia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Jim,Margaret,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
