,Episode,1,2,3,4,5,6,6,7,8,9,10,11,12,12,13,14,14,14,14,14
0,Voted Out,Sugar,Stephenie,Randy,Cirie,Tom,Tyson,James,Rob,Coach,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Jerri,Russell,Parvati,Sandra
1,Vote,9-1,6-3,9-1,3-2,5-2,3-2,5-1,4-3,4-3,5-1,5-0,6-3,5-3,4-3,4-0,4-1,3-1,6-3,6-3,6-3
2,Sandra,DNV,DNV,Randy,DNV,DNV,Russell,DNV,Russell,Coach,Courtney,J.T.,Amanda,Candice,Rupert,Rupert,Colby,Jerri,Jury Vote,Jury Vote,Jury Vote
3,Parvati,DNV,DNV,Randy,DNV,DNV,Tyson,DNV,Rob,Coach,Courtney,J.T.,Amanda,Rupert,Rupert,Rupert,Colby,Jerri,Jury Vote,Jury Vote,Jury Vote
4,Russell,DNV,DNV,Randy,DNV,DNV,Tyson,DNV,Rob,Courtney,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Jerri,Jury Vote,Jury Vote,Jury Vote
5,Jerri,DNV,DNV,Randy,DNV,DNV,Parvati,DNV,Rob,Courtney,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Parvati,OOTG,Parvati,OOTG
6,Colby,Sugar,Amanda,DNV,Cirie,James,DNV,James,DNV,DNV,DNV,Jerri,Parvati,Candice,Danielle,Sandra,Sandra,OOTG,OOTG,OOTG,Sandra
7,Rupert,Sugar,Stephenie,DNV,Colby,Tom,DNV,James,DNV,DNV,DNV,Jerri,Parvati,Candice,Danielle,Sandra,OOTG,OOTG,OOTG,OOTG,Sandra
8,Danielle,DNV,DNV,Randy,DNV,DNV,Tyson,DNV,Rob,Coach,Courtney,J.T.,Amanda,Rupert,Rupert,OOTG,OOTG,OOTG,OOTG,Parvati,OOTG
9,Candice,Sugar,Stephenie,DNV,Tom,Tom,DNV,James,DNV,DNV,DNV,Jerri,Amanda,Rupert,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sandra
10,Amanda,Sugar,Stephenie,DNV,Tom,Tom,DNV,James,DNV,DNV,DNV,Jerri,Parvati,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sandra
11,J.T.,Sugar,Stephenie,DNV,Cirie,Tom,DNV,James,DNV,DNV,DNV,Jerri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sandra
12,Courtney,DNV,DNV,Randy,DNV,DNV,Parvati,DNV,Russell,Coach,Jerri,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sandra
13,Coach,DNV,DNV,Randy,DNV,DNV,Parvati,DNV,Courtney,Courtney,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Parvati,OOTG
14,Rob,DNV,DNV,Randy,DNV,DNV,Russell,DNV,Russell,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,James,Sugar,Stephenie,DNV,Colby,Tom,DNV,Colby,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Tyson,DNV,DNV,Randy,DNV,DNV,Parvati,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Tom,Sugar,Amanda,DNV,Cirie,James,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Cirie,Sugar,Stephenie,DNV,Tom,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Randy,DNV,DNV,Rob,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Stephenie,Sugar,Amanda,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Sugar,Amanda,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
