,Episode,1,2,3,4,5,6,7,8,8,9,9,10,10,11,12,12,13,13,13,13,13
0,Voted Out,Ronnie,Molly,Vince,Chelsea,Tom,Jason,Jack,Kellee,Jamal,Aaron,Missy,Tie,Elizabeth,Karishma,Elaine,Dan,Janet,Lauren,Noura,Dean,Tommy
1,Vote,7-2,7-2,5-3,6-2,5-2,4-3,2-0,8-5,6-3,5-1,3-2,1-1,7-0,5-3,5-2,No ,4-1,No ,8-2,8-2,8-2
2,Tommy,DNV,Molly,DNV,DNV,DNV,Elaine,DNV,Kellee,Jamal,DNV,Missy,Karishma,Elizabeth,Karishma,Elaine,DNV,Janet,DNV,Jury Vote,Jury Vote,Jury Vote
3,Dean,Ronnie,DNV,Karishma,Karishma,Karishma,DNV,Jack,Kellee,Jamal,Aaron,DNV,Karishma,Elizabeth,Karishma,Elaine,DNV,Janet,DNV,Jury Vote,Jury Vote,Jury Vote
4,Noura,DNV,Molly,DNV,DNV,None1,DNV,Jack,Dan,Jamal,Aaron,DNV,Karishma,Elizabeth,Karishma,Elaine,DNV,Janet,DNV,Jury Vote,Jury Vote,Jury Vote
5,Lauren,DNV,Molly,DNV,DNV,DNV,Elaine,DNV,Kellee,Karishma,Aaron,DNV,Karishma,Elizabeth,Karishma,Elaine,DNV,Janet,Eliminated,OOTG,OOTG,Tommy
6,Janet,DNV,Molly,DNV,DNV,Tom,DNV,Dean,Dan,Jamal,Aaron,DNV,Karishma,None,Noura,Elaine,DNV,Lauren,OOTG,OOTG,OOTG,Tommy
7,Dan,DNV,Molly,DNV,DNV,DNV,Elaine,DNV,Kellee,Jamal,Aaron,DNV,Elizabeth,Elizabeth,Noura,Noura,Ejected,OOTG,OOTG,OOTG,OOTG,OOTG
8,Elaine,Ronnie,DNV,Vince,Chelsea,DNV,Jason,DNV,Kellee,Karishma,DNV,Missy,Karishma,Elizabeth,Karishma,Noura,OOTG,OOTG,OOTG,OOTG,OOTG,Tommy
9,Karishma,Ronnie,DNV,Vince,Chelsea,Tom,DNV,Dean,Dan,Janet,DNV,Missy,Janet,Elizabeth,Noura,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tommy
10,Elizabeth,None1,DNV,Vince,Chelsea,DNV,Jason,DNV,Kellee,Karishma,DNV,Tommy,Karishma,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Dean,OOTG
11,Missy,Ronnie,DNV,Vince,Chelsea,DNV,Jason,DNV,Kellee,Janet,DNV,Tommy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tommy
12,Aaron,Vince,DNV,Karishma,Chelsea,DNV,Jason,DNV,Kellee,Jamal,Janet,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Dean,OOTG
13,Jamal,DNV,Jason,DNV,DNV,Tom,DNV,Dean,Dan,None1,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tommy
14,Kellee,DNV,Molly,DNV,DNV,Tom,DNV,Dean,Dan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tommy
15,Jack,DNV,Jason,DNV,DNV,Tom,DNV,Dean,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tommy
16,Jason,DNV,Molly,DNV,DNV,DNV,None2,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Tom,Ronnie,DNV,Karishma,Chelsea,Karishma,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Chelsea,Ronnie,DNV,Vince,Karishma,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Vince,Ronnie,DNV,Tom,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Molly,DNV,Noura,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Ronnie,Vince,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
