,Episode,1,1,2,3,3,4,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14,Unnamed: 23_level_1
0,Voted Out,Tie,Darnell,Jennifer,Tie,Liz,Caleb,Alecia,Anna,Peter,Neal,Nick,Debbie,Scot,Julia,Jason,Joe,Tie,Cydney,Tai,Aubry,Michele,OOTG
1,Vote,3-3,4-0,3-2,2-2,3-0,No ,3-1,5-1,4-2,No ,6-2,4-3,4-2,5-2,4-2,No ,2-2,Tiebreaker,5-2,5-2,5-2,OOT
2,Michele,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Nick,Debbie,Tai,Julia,Jason,DNV,Aubry,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG
3,Aubry,DNV,DNV,DNV,Peter,None,DNV,DNV,Anna,Peter,DNV,Nick,Debbie,Scot,Julia,Jason,DNV,Cydney,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG
4,Tai,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Anna,Peter,DNV,Jason,Cydney,Scot,Julia,Michele,DNV,Cydney,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG
5,Tai,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Anna,Peter,DNV,Jason,Cydney,Scot,Julia,Michele,DNV,Cydney,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG
6,Cydney,Alecia,Darnell,Jennifer,DNV,DNV,DNV,Alecia,DNV,DNV,DNV,Nick,Debbie,Scot,Julia,Jason,DNV,Aubry,Voted Out,OOTG,OOTG,Michele,OOTG
7,Joe,DNV,DNV,DNV,Liz,Liz,DNV,DNV,Anna,Julia,DNV,Nick,Scot,Scot,Julia,Jason,Evacuated,OOTG,OOTG,OOTG,Aubry,OOTG,OOTG
8,Jason,Alecia,Darnell,Jennifer,DNV,DNV,DNV,Alecia,DNV,DNV,DNV,Aubry,Cydney,Aubry,Tai,Joe,OOTG,OOTG,OOTG,OOTG,OOTG,Michele,OOTG
9,Julia,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Exiled3,Peter,DNV,Nick,Debbie,Tai,Tai,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Michele,OOTG
10,Scot,Darnell,Darnell,Alecia,DNV,DNV,DNV,Alecia,Anna,Peter,DNV,Aubry,Cydney,Aubry,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Michele,OOTG
11,Debbie,DNV,DNV,DNV,Liz,Liz,DNV,DNV,DNV,DNV,DNV,Nick,Scot,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Michele,OOTG
12,Nick,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Debbie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Aubry,OOTG,OOTG
13,Neal,DNV,DNV,DNV,Peter,Liz,DNV,DNV,DNV,DNV,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,None8,None8,None8,OOTG
14,Peter,DNV,DNV,DNV,Aubry,None,DNV,DNV,Anna,Julia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Anna,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Peter,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Alecia,Darnell,None,Jennifer,DNV,DNV,DNV,Scot,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Caleb,DNV,DNV,DNV,DNV,DNV,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Liz,DNV,DNV,DNV,Aubry,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Jennifer,Darnell,Darnell,Alecia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Darnell,Alecia,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
