,Episode,1,2,2,3,4,5,5,6,6,7,8,9,10,11,11,12,13,13,13,13
0,Voted Out,Jon,Mary,Yau-Man,Mikey B.,Joel,Jonathan,Chet,Kathy,Tracy,Ami,Eliza,Ozzy,Jason,James,Alexis,Erik,Natalie,Cirie,Amanda,Parvati
1,Vote,9-1,6-2,6-2,6-3,6-2,No ,5-2,No ,5-1,4-1,8-2,5-4,4-3,No ,2-0,4-1,3-1,1-0,5-3,5-3
2,Parvati,Jon,DNV,Yau-Man,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Eliza,Ozzy,Jason,DNV,Alexis,Erik,Natalie,None,Jury Vote,Jury Vote
3,Amanda,Jon,DNV,Yau-Man,DNV,Joel,DNV,Chet,DNV,Tracy,Ami,Eliza,Jason,Jason,DNV,Alexis,Erik,Natalie,Cirie,Jury Vote,Jury Vote
4,Cirie,Jon,DNV,Yau-Man,DNV,Joel,DNV,Chet,DNV,Tracy,Ami,Eliza,Ozzy,Jason,DNV,Amanda,Erik,Natalie,None,OOTG,Parvati
5,Natalie,DNV,Mary,DNV,Mikey B.,DNV,DNV,DNV,DNV,DNV,DNV,Eliza,Ozzy,James,DNV,Amanda,Erik,Cirie,OOTG,OOTG,Parvati
6,Erik,DNV,Mary,DNV,Mikey B.,Chet,DNV,Chet,DNV,Tracy,Ami,Eliza,Jason,Jason,DNV,Amanda,Parvati,OOTG,OOTG,Amanda,OOTG
7,Alexis,DNV,Mary,DNV,Chet,DNV,DNV,DNV,DNV,DNV,DNV,Eliza,Ozzy,James,DNV,Amanda,OOTG,OOTG,OOTG,OOTG,Parvati
8,James,Jon,DNV,Yau-Man,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Eliza,Jason,Parvati,Evacuated,OOTG,OOTG,OOTG,OOTG,Amanda,OOTG
9,Jason,DNV,Chet,DNV,Chet,DNV,DNV,DNV,DNV,DNV,DNV,Ozzy,Ozzy,James,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Parvati
10,Ozzy,Jon,DNV,Yau-Man,DNV,Joel,DNV,Chet,DNV,Tracy,Ami,Eliza,Jason,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Amanda,OOTG
11,Eliza,Jon,DNV,Yau-Man,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Ozzy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Parvati
12,Ami,Jon,DNV,Cirie,DNV,Joel,DNV,Chet,DNV,Tracy,Erik,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Tracy,DNV,Mary,DNV,Mikey B.,Joel,DNV,Erik,DNV,Ozzy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Kathy,DNV,Mary,DNV,Mikey B.,DNV,DNV,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Chet,DNV,Mary,DNV,Mikey B.,Joel,DNV,Erik,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Jonathan,Jon,DNV,Parvati,DNV,DNV,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Joel,DNV,Tracy,DNV,Mikey B.,Chet,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Mikey B.,DNV,Chet,DNV,Chet,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Yau-Man,Jon,DNV,Parvati,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Mary,DNV,Tracy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Jon,Ozzy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
