,Episode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14
0,Voted Out,Kourtney,Nina,Matt,Bill,Monica,Colton,Jonas,Michael,Jay,Leif,Troyzan,Kat,Tarzan,Alicia,Christina,Chelsea,Sabrina,Kim
1,Vote,No ,6-1,7-1,7-1,5-2,No ,10-,7-2,5-2,4-3,4-3,6-1,5-1,3-2,3-1,7-2,7-2,7-2
2,Kim,DNV,Nina,DNV,DNV,DNV,DNV,Jonas,Michael,Jay,Tarzan,Troyzan,Kat,Tarzan,Alicia,Christina,Jury Vote,Jury Vote,Jury Vote
3,Sabrina,DNV,Nina,DNV,DNV,DNV,DNV,Jonas,Michael,Jay,Leif,Christina,Kat,Tarzan,Alicia,Christina,Jury Vote,Jury Vote,Jury Vote
4,Chelsea,DNV,Nina,DNV,DNV,DNV,DNV,Jonas,Michael,Troyzan,Leif,Troyzan,Kat,Tarzan,Alicia,Christina,Jury Vote,Jury Vote,Jury Vote
5,Christina,DNV,Nina,DNV,DNV,Tarzan,DNV,Jonas,Tarzan,Jay,Tarzan,Chelsea,Kat,Tarzan,Chelsea,Sabrina,OOTG,OOTG,Kim
6,Alicia,DNV,Nina,DNV,DNV,Monica,DNV,Jonas,Tarzan,Jay,Tarzan,Troyzan,Kat,Tarzan,Chelsea,OOTG,OOTG,OOTG,Kim
7,Tarzan,DNV,DNV,Matt,Bill,Monica,DNV,Jonas,Christina,Jay,Leif,Christina,Kat,Chelsea,OOTG,OOTG,OOTG,OOTG,Kim
8,Kat,DNV,Nina,DNV,DNV,DNV,DNV,Jonas,Michael,Troyzan,Leif,Troyzan,Sabrina,OOTG,OOTG,OOTG,OOTG,OOTG,Kim
9,Troyzan,DNV,DNV,Matt,Bill,DNV,DNV,Jonas,Michael,Kim,Kim,Christina,OOTG,OOTG,OOTG,OOTG,OOTG,Sabrina,OOTG
10,Leif,DNV,DNV,Matt,Bill,Monica,DNV,Michael,Michael,Alicia,Kim,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sabrina,OOTG
11,Jay,DNV,DNV,Matt,Bill,DNV,DNV,Jonas,Michael,Alicia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Kim
12,Michael,DNV,DNV,Bill,Bill,DNV,DNV,Jonas,Christina,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Kim
13,Jonas,DNV,DNV,Matt,Bill,Monica,DNV,Michael,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Kim
14,Colton,DNV,DNV,Matt,Bill,Monica,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Monica,DNV,Christina,DNV,DNV,Tarzan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Bill,DNV,DNV,Matt,Leif,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Matt,DNV,DNV,Colton,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Nina,DNV,Kat,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Kourtney,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
