,Episode,1,2,3,4,5,5,6,7,8,9,10,11,12,13,14,14,14,14
0,Voted Out,Zane,Roxy,Angie,Russell,Dana,Dawson,Katie,RC,Jeff,Artis,Pete,Jonathan,Carter,Abi-Maria,Malcolm,Michael,Lisa,Denise
1,Vote,5-1,4-1,3-1,2-1,No ,5-1,4-1,4-2,5-4,5-4,3-2,4-3,5-1,4-1,3-1,6-1,6-1,6-1
2,Denise,Zane,Roxy,Angie,Russell,DNV,Dawson,Katie,Jonathan,Pete,Artis,Abi-Maria,Jonathan,Carter,Abi-Maria,Malcolm,Jury Vote,Jury Vote,Jury Vote
3,Lisa,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Jonathan,Jeff,Jonathan,Abi-Maria,Jonathan,Carter,Abi-Maria,Malcolm,Jury Vote,Jury Vote,Jury Vote
4,Michael,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Jonathan,Jeff,Artis,Abi-Maria,Jonathan,Carter,Abi-Maria,Malcolm,Jury Vote,Jury Vote,Jury Vote
5,Malcolm,Zane,Roxy,Angie,Russell,DNV,DNV,DNV,Jonathan,Pete,Artis,Pete,Jonathan,Carter,Abi-Maria,Denise,OOTG,OOTG,Denise
6,Abi-Maria,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Jonathan,Jeff,Jonathan,Malcolm,Denise,Carter,Denise,OOTG,OOTG,OOTG,Denise
7,Carter,DNV,DNV,DNV,DNV,DNV,Dawson,Katie,RC,Pete,Artis,Pete,Denise,Abi-Maria,OOTG,OOTG,Michael,OOTG,OOTG
8,Jonathan,DNV,DNV,DNV,DNV,DNV,Dawson,Katie,Pete,Abi-Maria,Artis,Pete,Denise,OOTG,OOTG,OOTG,OOTG,OOTG,Denise
9,Pete,DNV,DNV,DNV,DNV,DNV,DNV,DNV,RC,Jeff,Jonathan,Malcolm,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Denise
10,Artis,DNV,DNV,DNV,DNV,DNV,DNV,DNV,RC,Jeff,Jonathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Denise
11,Jeff,DNV,DNV,DNV,DNV,DNV,Dawson,Katie,RC,Pete,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Denise
12,RC,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Pete,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Lisa,OOTG
13,Katie,DNV,DNV,DNV,DNV,DNV,Dawson,Jonathan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Dawson,DNV,DNV,DNV,DNV,DNV,Denise,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Dana,DNV,DNV,DNV,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Russell,Zane,Roxy,Angie,Malcolm,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Angie,Zane,Roxy,Russell,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Roxy,Zane,Angie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Zane,Russell,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
