,Episode,1,2,3,4,5,6,7,8,8,9,9,10,10,12,13,14,15,15,15,15,15
0,Voted Out,Semhar,Christine,Mark,Stacey,Elyse,Mikayla,Ozzy,Tie,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Rick,Ozzy,Albert,Coach,Sophie
1,Vote,8-1,4-3,6-1,7-1,3-2,4-3,5-1,6-6,6-4,9-2,7-3,7-2,7-1,5-2,5-1,3-2,3-2,3-1,6-3,6-3,6-3
2,Sophie,DNV,Stacey,DNV,Stacey,DNV,Edna,DNV,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Rick,Ozzy,Jury Vote,Jury Vote,Jury Vote
3,Coach,DNV,Christine,DNV,Stacey,DNV,Mikayla,DNV,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Rick,Ozzy,Jury Vote,Jury Vote,Jury Vote
4,Albert,DNV,Christine,DNV,Stacey,DNV,Edna,DNV,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Sophie,Rick,Ozzy,Jury Vote,Jury Vote,Jury Vote
5,Ozzy,Semhar,DNV,Mark,DNV,Cochran,DNV,Cochran,Rick,Rick,Cochran,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sophie,Albert,OOTG,OOTG,Sophie
6,Rick,DNV,Stacey,DNV,Stacey,DNV,Mikayla,DNV,Keith,None,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Brandon,Sophie,OOTG,OOTG,Coach,OOTG
7,Brandon,DNV,Christine,DNV,Stacey,DNV,Mikayla,DNV,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Cochran,Edna,Sophie,Eliminated,OOTG,OOTG,OOTG,Sophie
8,Edna,DNV,Stacey,DNV,Stacey,DNV,Mikayla,DNV,Keith,Keith,Ozzy,Jim,Dawn,Whitney,Rick,Brandon,Eliminated,OOTG,OOTG,OOTG,Coach,OOTG
9,Cochran,Semhar,DNV,Mark,DNV,Elyse,DNV,Ozzy,Rick,Keith,Ozzy,Jim,Dawn,Whitney,Rick,Eliminated,OOTG,OOTG,OOTG,OOTG,Coach,OOTG
10,Whitney,Semhar,DNV,Mark,DNV,Dawn,DNV,Ozzy,Rick,Rick,Ozzy,Edna,Edna,Cochran,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sophie
11,Dawn,Semhar,DNV,Mark,DNV,Elyse,DNV,Ozzy,Rick,Rick,Ozzy,Edna,Edna,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sophie
12,Jim,Semhar,DNV,Cochran,DNV,Elyse,DNV,Ozzy,Rick,Rick,Cochran,Edna,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sophie
13,Keith,Semhar,DNV,Mark,DNV,Dawn,DNV,Ozzy,Rick,None,OOTG,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sophie
14,Mikayla,DNV,Christine,DNV,Stacey,DNV,Edna,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Elyse,Semhar,DNV,Mark,DNV,Cochran,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Stacey,DNV,Sophie,DNV,Edna,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Mark,Semhar,DNV,Jim,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Christine,DNV,Edna,OOTG,OOTG,OOTG,OOTG,OOTG,Eliminated,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Semhar,Cochran,OOTG,Eliminated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
