,Episode,1,2,3,4,5,7,8,9,10,11,12,13,14,14,14,14
0,Voted Out,Carolina,Candace,Jerry,Sandy,Spencer,Sydney,Joe,Brendan,Tyson,Sierra,Debbie,Coach,Taj,Erinn,Stephen,J.T.
1,Vote,7-1,7-1,6-1,5-1,5-1,3-2,No ,4-3,5-3,4-2,4-1,3-2,3-1,1-0,7-0,7-0
2,J.T.,Carolina,DNV,DNV,Sandy,Spencer,Sydney,DNV,Sierra,Tyson,Sierra,Debbie,Erinn,Taj,Erinn,Jury Vote,Jury Vote
3,Stephen,Carolina,DNV,DNV,Sandy,Spencer,Sydney,DNV,Brendan,Tyson,Sierra,Debbie,Coach,Taj,None,Jury Vote,Jury Vote
4,Erinn,DNV,Candace,Jerry,DNV,DNV,DNV,DNV,Sierra,Tyson,Stephen,Debbie,Coach,Taj,None,OOTG,J.T.
5,Taj,Carolina,DNV,DNV,Joe,Spencer,Sydney,DNV,Brendan,Tyson,Debbie,Debbie,Coach,Erinn,OOTG,OOTG,J.T.
6,Coach,DNV,Candace,Jerry,DNV,DNV,DNV,DNV,Brendan,Sierra,Sierra,Taj,Erinn,OOTG,OOTG,OOTG,J.T.
7,Debbie,DNV,Candace,Jerry,DNV,DNV,DNV,DNV,Brendan,Sierra,Sierra,Coach,OOTG,OOTG,OOTG,OOTG,J.T.
8,Sierra,DNV,Candace,Jerry,DNV,DNV,DNV,DNV,Coach,Tyson,Debbie,OOTG,OOTG,OOTG,OOTG,OOTG,J.T.
9,Tyson,DNV,Candace,Jerry,DNV,DNV,DNV,DNV,Sierra,Sierra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,J.T.
10,Brendan,DNV,Candace,Jerry,DNV,DNV,DNV,DNV,Coach,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,J.T.
11,Joe,Carolina,DNV,DNV,Sandy,Spencer,Taj,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Sydney,Carolina,DNV,DNV,Sandy,Spencer,Taj,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Spencer,Carolina,DNV,DNV,Sandy,Taj,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Sandy,Carolina,DNV,DNV,Sydney,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Jerry,DNV,Candace,Erinn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Candace,DNV,Sierra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Carolina,Sandy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
