,Episode,1,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,13,13,13
0,Voted Out,David,Garrett,Tie,Brice,J'Tia,Cliff,Lindsey,Alexis,Sarah,Morgan,LJ,Jeremiah,Jefra,Tasha,Trish,Spencer,Kass,Woo,Tony
1,Vote,4-2,3-2,2-2,3-0,3-1,4-3,No ,6-1,6-5,6-4,5-3,5-3,4-3,4-1,4-1,3-1,1-0,8-1,8-1
2,Tony,DNV,DNV,DNV,DNV,DNV,Cliff,DNV,DNV,Sarah,Morgan,LJ,Jeremiah,Jefra,Tasha,Trish,Spencer,None,Jury Vote,Jury Vote
3,Woo,DNV,DNV,DNV,DNV,DNV,LJ,DNV,DNV,Sarah,Morgan,LJ,Jeremiah,Jefra,Tasha,Trish,Spencer,Kass,Jury Vote,Jury Vote
4,Kass,J'Tia,Garrett,DNV,DNV,J'Tia,DNV,DNV,Alexis,Sarah,Morgan,Jeremiah,Jeremiah,Spencer,Tasha,Trish,Spencer,None,OOTG,Tony
5,Spencer,David,J'Tia,DNV,DNV,J'Tia,DNV,DNV,Alexis,Jefra,Tony,LJ,Woo,Jefra,Tony,Trish,Woo,OOTG,OOTG,Tony
6,Trish,DNV,DNV,DNV,DNV,DNV,Cliff,DNV,DNV,Sarah,Morgan,Jeremiah,Jeremiah,Spencer,Tasha,Kass,OOTG,OOTG,OOTG,Tony
7,Tasha,David,Garrett,DNV,DNV,J'Tia,DNV,DNV,Alexis,Jefra,Tony,LJ,Woo,Jefra,Trish,OOTG,OOTG,OOTG,Woo,OOTG
8,Jefra,DNV,DNV,Brice,Brice,DNV,Cliff,DNV,DNV,Sarah,Morgan,Jeremiah,Jeremiah,Spencer,OOTG,OOTG,OOTG,OOTG,OOTG,Tony
9,Jeremiah,DNV,DNV,Morgan,Brice,DNV,DNV,DNV,Alexis,Jefra,Tony,LJ,Woo,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tony
10,LJ,DNV,DNV,Morgan,Brice,DNV,Cliff,DNV,DNV,Sarah,Morgan,Spencer,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tony
11,Morgan,DNV,DNV,Alexis,None,DNV,DNV,DNV,Alexis,Jefra,Tony,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tony
12,Sarah,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Alexis,Jefra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Tony
13,Alexis,DNV,DNV,Brice,None,DNV,DNV,DNV,Jeremiah,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Lindsey,DNV,DNV,DNV,DNV,DNV,LJ,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Cliff,DNV,DNV,DNV,DNV,DNV,LJ,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,J'Tia,David,Garrett,DNV,DNV,Spencer,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Brice,DNV,DNV,Alexis,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Garrett,David,J'Tia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,David,J'Tia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
