,Episode,1,2,3,4,5,6,7,8,9,11,12,13,14,14,14,14
0,Voted Out,Chicken,Ashley,Leslie,Dave,Aaron,Sherea,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,Amanda,Courtney,Todd
1,Vote,5-2,6-1,6-2,5-1,3-1,5-2,7-3,5-3,7-1,5-1,4-2,4-1,3-1,4-2,4-2,4-2
2,Todd,DNV,DNV,Leslie,DNV,DNV,Sherea,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,Jury Vote,Jury Vote,Jury Vote
3,Courtney,DNV,DNV,Jean-Robert,DNV,DNV,Jean-Robert,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,Jury Vote,Jury Vote,Jury Vote
4,Amanda,DNV,DNV,Leslie,DNV,DNV,Sherea,Jaime,Jean-Robert,Frosti,James,Erik,Peih-Gee,Denise,Jury Vote,Jury Vote,Jury Vote
5,Denise,DNV,DNV,Leslie,DNV,DNV,Sherea,Jaime,Peih-Gee,Frosti,James,Erik,Peih-Gee,Todd,OOTG,Courtney,OOTG
6,Peih-Gee,Chicken,Ashley,DNV,Dave,Aaron,DNV,Jean-Robert,James,Frosti,Todd,Todd,Todd,OOTG,OOTG,OOTG,Todd
7,Erik,Chicken,Ashley,DNV,Dave,Aaron,DNV,Jean-Robert,James,Frosti,James,Todd,OOTG,OOTG,Amanda,OOTG,OOTG
8,James,DNV,DNV,Leslie,DNV,Peih-Gee,DNV,Jaime,Jean-Robert,Frosti,Peih-Gee,OOTG,OOTG,OOTG,OOTG,Courtney,OOTG
9,Frosti,Chicken,Ashley,DNV,Dave,DNV,Sherea,Jaime,Jean-Robert,Erik,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Todd
10,Jean-Robert,DNV,DNV,Leslie,DNV,DNV,Sherea,Jaime,James,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Todd
11,Jaime,Chicken,Ashley,DNV,Dave,Aaron,DNV,Jean-Robert,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Todd
12,Sherea,Chicken,Ashley,DNV,Dave,DNV,Jean-Robert,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Aaron,DNV,DNV,Leslie,DNV,James,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Dave,Ashley,Ashley,DNV,Sherea,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Leslie,DNV,DNV,Jean-Robert,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Ashley,Peih-Gee,Dave,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
