,Episode,1,2,3,4,4,5,6,7,8,9,10,10,11,12,13,13,13,13,13,13,Unnamed: 22_level_1,Unnamed: 23_level_1
0,Voted Out,Pat,Jessica,Jeremy,Bi,Natalia,Natalie,Lyrsa,Elizabeth,John,Dan,Alec,Carl,Gabby,Christian,Davie,Alison,Kara,Angelina,Mike,Nick,OOTG,OOTG
1,Vote,No ,5-4,9-1,No ,3-1,3-2,3-1,12-,3-0,6-3,9-1,5-4,2-1,3-2,4-2,4-1,No ,7-3,7-3,7-3,OOT,OOT
2,Nick,DNV,Jessica,DNV,DNV,DNV,Natalie,Lyrsa,Elizabeth,John,Dan,Alec,Alison,Christian,Christian,Alison,Alison,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG,OOTG
3,Nick,DNV,Jessica,DNV,DNV,DNV,Natalie,Lyrsa,Elizabeth,John,Dan,Alec,Alison,Christian,Christian,Alison,Alison,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG,OOTG
4,Mike,DNV,DNV,Jeremy,DNV,DNV,Natalie,Lyrsa,Elizabeth,Christian,Christian,Alec,Carl,Gabby,Davie,Davie,Alison,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG,OOTG
5,Angelina,DNV,DNV,Jeremy,DNV,DNV,Lyrsa,Lyrsa,Elizabeth,Christian,Christian,Alec,Alison,Gabby,Christian,Davie,Alison,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG,OOTG
6,Kara,DNV,DNV,Jeremy,DNV,Davie,DNV,DNV,Elizabeth,Christian,Angelina,Alec,Carl,Christian,Christian,Davie,Alison,Eliminated,OOTG,Mike,OOTG,OOTG,OOTG
7,Alison,DNV,DNV,Jeremy,DNV,DNV,DNV,DNV,Elizabeth,Christian,None7,Alec,Carl,Christian,Davie,Davie,Mike,OOTG,OOTG,Mike,OOTG,OOTG,OOTG
8,Davie,DNV,Lyrsa,DNV,DNV,Natalia,DNV,DNV,Elizabeth,John,Dan,Alec,Alison,Christian,Alison,Alison,OOTG,OOTG,OOTG,OOTG,Nick,OOTG,OOTG
9,Christian,DNV,Jessica,DNV,DNV,DNV,DNV,DNV,Elizabeth,John,Dan,Alec,Carl,Alison,Alison,OOTG,OOTG,OOTG,OOTG,Mike,OOTG,OOTG,OOTG
10,Gabby,DNV,Jessica,DNV,DNV,DNV,DNV,DNV,Elizabeth,Angelina,Dan,Alec,Carl,Christian,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Nick,OOTG,OOTG
11,Carl,DNV,Lyrsa,DNV,DNV,Exiled3,DNV,DNV,Elizabeth,Angelina,Dan,Alec,Alison,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Nick,OOTG,OOTG
12,Alec,DNV,DNV,Jeremy,DNV,Natalia,DNV,DNV,Elizabeth,Christian,Angelina,Carl,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Nick,OOTG,OOTG
13,Dan,DNV,DNV,Jeremy,DNV,DNV,DNV,DNV,Elizabeth,Christian,Christian,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Nick,OOTG,OOTG
14,John,DNV,DNV,Jeremy,DNV,DNV,DNV,DNV,Elizabeth,Christian,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Nick,OOTG,OOTG
15,Elizabeth,DNV,Jessica,DNV,DNV,Natalia,DNV,DNV,Angelina,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Nick,OOTG,OOTG
16,Lyrsa,DNV,Jessica,DNV,DNV,DNV,Natalie,Angelina,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Natalie,DNV,DNV,Jeremy,DNV,DNV,Lyrsa,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Natalia,DNV,DNV,Jeremy,DNV,Elizabeth,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Bi,DNV,Lyrsa,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Jeremy,DNV,DNV,Natalie,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Jessica,DNV,Lyrsa,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
22,Pat,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
