,Episode,1,2,3,4,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14
0,Voted Out,Jessica,Erica,Sylvia,Gary,Liliana,Rita,Anthony,Rocky,Lisi,Michelle,Edgardo,Mookie,Alex,Stacy,Boo,Yau-Man,Dreamz,Cassandra,Earl
1,Vote,6-1,6-2,4-3,No ,6-1,5-2,5-1,4-2,4-1,3-2,5-3,4-3,6-1,2-0,4-1,3-1,9-0,9-0,9-0
2,Earl,Jessica,Exiled2,Sylvia,DNV,DNV,Rita,DNV,DNV,DNV,DNV,Edgardo,Alex,Alex,Stacy,Boo,Yau-Man,Jury Vote,Jury Vote,Jury Vote
3,Cassandra,DNV,DNV,DNV,DNV,Lisi,DNV,DNV,DNV,DNV,DNV,Edgardo,Mookie,Alex,Yau-Man,Boo,Yau-Man,Jury Vote,Jury Vote,Jury Vote
4,Dreamz,DNV,DNV,DNV,DNV,Liliana,DNV,Anthony,Rocky,Lisi,Michelle,Mookie,Mookie,Alex,Yau-Man,Boo,Yau-Man,Jury Vote,Jury Vote,Jury Vote
5,Yau-Man,Jessica,Erica,Sylvia,DNV,DNV,Rita,DNV,DNV,DNV,DNV,Edgardo,Alex,Alex,Stacy,Boo,Cassandra,OOTG,OOTG,Earl
6,Boo,DNV,DNV,DNV,DNV,Liliana,DNV,DNV,DNV,DNV,DNV,Edgardo,Mookie,Alex,Yau-Man,Dreamz,OOTG,OOTG,OOTG,Earl
7,Stacy,DNV,DNV,DNV,DNV,Liliana,DNV,DNV,DNV,DNV,Michelle,Edgardo,Alex,Alex,Yau-Man,OOTG,OOTG,OOTG,OOTG,Earl
8,Alex,DNV,DNV,DNV,DNV,Liliana,DNV,Anthony,Rocky,Lisi,Michelle,Cassandra,Mookie,Yau-Man,OOTG,OOTG,OOTG,OOTG,OOTG,Earl
9,Mookie,Jessica,Erica,Anthony,DNV,DNV,Rita,Anthony,Lisi,Lisi,Stacy,Cassandra,Boo,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Earl
10,Edgardo,DNV,DNV,DNV,DNV,Liliana,DNV,Anthony,Rocky,Lisi,DNV,Cassandra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Earl
11,Michelle,Jessica,Erica,Sylvia,DNV,DNV,Anthony,DNV,DNV,DNV,Stacy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Earl
12,Lisi,DNV,DNV,DNV,DNV,Liliana,DNV,Exiled4,Rocky,Dreamz,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Earl
13,Rocky,Mookie,Erica,Anthony,DNV,DNV,Rita,Anthony,Lisi,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Earl
14,Anthony,Jessica,Sylvia,Sylvia,DNV,DNV,Rita,Rocky,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Rita,Jessica,Erica,Earl,DNV,DNV,Anthony,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Liliana,DNV,DNV,DNV,DNV,Cassandra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Gary,DNV,DNV,DNV,Quit,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Sylvia,Exiled1,Erica,Anthony,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Erica,Yau-Man,Sylvia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Jessica,Rita,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
