,Episode,1,1,2,3,4,5,6,7,7,8,9,10,11,11,12,12,12,12,12,12,12
0,Voted Out,Ciera,Tony,Caleb,Malcolm,J.T.,Sandra,Jeff,Hali,Ozzy,Debbie,Zeke,Sierra,Andrea,Michaela,Null,Cirie,Aubry,Tai,Troyzan,Brad,Sarah
1,Vote,9-1,7-2,5-1,5-0,3-2,5-2,6-0,7-4,7-4,6-5,5-3,6-3,6-2,4-2,0-0,Def,4-1,3-1,7-3,7-3,7-3
2,Sarah,DNV,DNV,DNV,DNV,DNV,Sandra,Jeff,Michaela,Ozzy,Debbie,Zeke,Sierra,Andrea,Michaela5,Tai,DNV,Aubry,Tai,Jury Vote,Jury Vote,Jury Vote
3,Sarah,DNV,DNV,DNV,DNV,DNV,Sandra,Jeff,Michaela,Ozzy,Debbie,Zeke,Sierra,Andrea,Michaela5,Tai,DNV,Aubry,Tai,Jury Vote,Jury Vote,Jury Vote
4,Brad,DNV,DNV,Caleb,Malcolm,DNV,DNV,DNV,Hali,Ozzy,Andrea,Tai,Andrea,Andrea,Michaela,Aubry,DNV,Aubry,Tai,Jury Vote,Jury Vote,Jury Vote
5,Troyzan,Ciera,Tony,DNV,DNV,DNV,DNV,DNV,Hali,Ozzy,Andrea,Tai,Andrea,Andrea,Michaela,Tai,DNV,Aubry,Tai,Jury Vote,Jury Vote,Jury Vote
6,Tai,DNV,DNV,Caleb,Malcolm,DNV,Sandra,Jeff,Hali,Ozzy,Andrea,Sierra,Sierra,Andrea,None6,Sarah,DNV,Aubry,Troyzan,OOTG,OOTG,Sarah
7,Aubry,Ciera,Tony,DNV,Sierra,Michaela,DNV,DNV,Hali,Zeke,Debbie,Zeke,Sierra,Brad,Tai,Sarah,DNV,Troyzan,OOTG,OOTG,OOTG,Sarah
8,Cirie,DNV,DNV,DNV,DNV,DNV,DNV,DNV,Michaela,Sierra,Debbie,Zeke,Sierra,Andrea,Aubry,Sarah,Eliminated,OOTG,OOTG,OOTG,OOTG,Sarah
9,Michaela,Ciera,Tony,DNV,Sierra,J.T.,DNV,DNV,Zeke,Zeke,Debbie,Zeke,Sierra,Andrea,Tai,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sarah
10,Andrea,DNV,DNV,DNV,DNV,DNV,Sandra,Jeff,Michaela,Zeke,Debbie,Zeke,Sierra,Brad,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sarah
11,Sierra,DNV,DNV,Caleb,Malcolm,DNV,DNV,DNV,Hali,Ozzy,Andrea,Tai,Andrea,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Brad,OOTG
12,Zeke,DNV,DNV,DNV,DNV,DNV,Sandra,Jeff,Michaela,Aubry,Debbie,Sierra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sarah
13,Debbie,DNV,DNV,Caleb,Malcolm,DNV,Exiled2,Jeff,Hali,Ozzy4,Andrea,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Brad,OOTG
14,Debbie,DNV,DNV,Caleb,Malcolm,DNV,Exiled2,Jeff,Hali,Ozzy4,Andrea,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Brad,OOTG
15,Ozzy,DNV,DNV,DNV,DNV,DNV,Sandra,Jeff,Hali,Zeke,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Brad,OOTG
16,Hali,Ciera,Tony,Caleb,Malcolm,DNV,DNV,DNV,Zeke,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Sarah
17,Jeff,Ciera,Tony,DNV,Sierra,J.T.,Tai,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Sandra,Ciera,Aubry,DNV,Sierra,J.T.,Tai,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,J.T.,DNV,DNV,DNV,Sierra,Michaela,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Malcolm,Ciera,Tony,DNV,Sierra,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Caleb,Ciera,Tony,Hali,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
22,Tony,Ciera,Aubry,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
23,Ciera,Michaela,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
