,Episode,1,2,3,4,5,6,7,8,10,11,12,13,14,14,14,14,14
0,Voted Out,Peter,Patricia,Hunter,Sarah,Gabriel,Gina,Rob,John,Zoe,Tammy,Robert,Sean,Tie,Paschal,Kathy,Neleh,Vecepia
1,Vote,5-2,4-3,4-2,4-1,7-1,3-1,7-2,6-3,7-1,5-2,5-1,3-2,2-2,Lot,1-0,4-3,4-3
2,Vecepia,Sarah,Patricia,Hunter,DNV,Gabriel,DNV,Rob,John,Zoe,Tammy,Robert,Neleh,Neleh,DNV,None,Jury Vote,Jury Vote
3,Neleh,DNV,DNV,DNV,Sarah,DNV,Gina,Rob,John,Zoe,Tammy,Robert,Sean,Kathy,DNV,Kathy,Jury Vote,Jury Vote
4,Kathy,DNV,DNV,DNV,Sarah,DNV,Gina,Zoe,John,Zoe,Tammy,Robert,Sean,Neleh,DNV,None,Neleh,OOTG
5,Paschal,DNV,DNV,DNV,Sarah,DNV,Gina,Rob,John,Zoe,Tammy,Robert,Sean,Kathy,Eliminated,OOTG,Neleh,OOTG
6,Sean,Sarah,Patricia,Hunter,DNV,Gabriel,DNV,John,John,Zoe,Tammy,Robert,Neleh,OOTG,OOTG,OOTG,OOTG,Vecepia
7,Robert,DNV,DNV,DNV,DNV,Gabriel,DNV,Rob,Sean,Zoe,Vecepia,Sean,OOTG,OOTG,OOTG,OOTG,OOTG,Vecepia
8,Tammy,DNV,DNV,DNV,DNV,Gabriel,DNV,Rob,Sean,Zoe,Vecepia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Vecepia
9,Zoe,DNV,DNV,DNV,DNV,Gabriel,DNV,Rob,John,Robert,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Neleh,OOTG
10,John,DNV,DNV,DNV,DNV,Gabriel,DNV,Rob,Sean,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Vecepia
11,Rob,Peter,Patricia,Hunter,DNV,Gabriel,DNV,John,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Gina,Peter,Sarah,Sarah,Sarah,DNV,Kathy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Gabriel,DNV,DNV,DNV,DNV,Rob,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Sarah,Peter,Patricia,Hunter,Kathy,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Hunter,Peter,Sarah,Sarah,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Patricia,Peter,Sarah,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Peter,Patricia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
