,Episode,1,2,2,3,4,5,6,7,8,9,10,10,12,13,13,14,15,15,15,15,15
0,Voted out:,Marisa,Mike,Betsy,Ben,Yasmin,Ashley,Russell S.,Liz,Erik,Kelly,Tie,Laura,John,Dave,Monica,Shambo,Jaison,Brett,Mick,Russell H.,Natalie
1,Vote:,7-3,No ,7-1,6-1,8-2,5-1,No ,4-1,10-,4-0,5-5,5-3,7-1,7-1,5-2,5-1,4-1,3-1,7-2,7-2,7-2
2,Natalie,Marisa,DNV,Betsy,Ben,DNV,Ashley,DNV,Liz,Erik,Kelly,Laura,None,John,Dave,Monica,Shambo,Jaison,Brett,Jury Vote,Jury Vote,Jury Vote
3,Russell H.,Marisa,DNV,Betsy,Ben,DNV,Ashley,DNV,Liz,Erik,Kelly,Laura,Laura,John,Dave,Monica,Shambo,Jaison,Brett,Jury Vote,Jury Vote,Jury Vote
4,Mick,Ashley,DNV,Betsy,Ben,DNV,Ashley,DNV,Liz,Erik,Kelly,Laura,Laura,John,Dave,Monica,Shambo,Jaison,Brett,Jury Vote,Jury Vote,Jury Vote
5,Brett,DNV,DNV,DNV,DNV,Yasmin,DNV,DNV,DNV,Erik,Russell H.,Natalie,Natalie,John,Dave,Russell H.,Shambo,Jaison,Mick,OOTG,OOTG,Natalie
6,Jaison,Marisa,DNV,Betsy,Ben,DNV,Ashley,DNV,Liz,Erik,Kelly,Laura,Laura,John,Dave,Monica,Shambo,Mick,OOTG,OOTG,OOTG,Natalie
7,Shambo,DNV,DNV,DNV,DNV,Monica,DNV,DNV,DNV,Jaison,Russell H.,Laura,Laura,Dave,Dave,Monica,Mick,OOTG,OOTG,OOTG,Russell H.,OOTG
8,Monica,DNV,DNV,DNV,DNV,Yasmin,DNV,DNV,DNV,Erik,Russell H.,Natalie,Natalie,John,Dave,Russell H.,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
9,Dave,DNV,DNV,DNV,DNV,Yasmin,DNV,DNV,DNV,Erik,Russell H.,Natalie,Natalie,John,Shambo,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
10,John,DNV,DNV,DNV,DNV,Yasmin,DNV,DNV,DNV,Erik,Russell H.,Natalie,Laura,Mick,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Russell H.,OOTG
11,Laura,DNV,DNV,DNV,DNV,Yasmin,DNV,DNV,DNV,Erik,Russell H.,Natalie,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
12,Kelly,DNV,DNV,DNV,DNV,Yasmin,DNV,DNV,DNV,Erik,Russell H.,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
13,Erik,DNV,DNV,DNV,DNV,Yasmin,DNV,DNV,DNV,Jaison,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Natalie
14,Liz,Marisa,DNV,Betsy,Ben,DNV,Ashley,DNV,Jaison,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Russell S.,DNV,DNV,DNV,DNV,Yasmin,DNV,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Ashley,Marisa,DNV,Betsy,Ben,DNV,Liz,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Yasmin,DNV,DNV,DNV,DNV,Monica,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Ben,Marisa,DNV,Betsy,Ashley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Betsy,Ashley,DNV,Ben,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,Mike,Marisa,Evacuated,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
21,Marisa,Ashley,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
