,Episode,1,2,3,4,5,6,7,8,9,10,12,13,14,14,14,14
0,Voted Out,John,Tanya,Jed,Ghandia,Stephanie,Robb,Shii Ann,Erin,Ken,Penny,Jake,Ted,Helen,Jan,Clay,Brian
1,Vote,6-1,5-2,5-3,4-2,5-2,5-1,4-1,3-1,5-3,4-2,5-1,4-1,3-1,1-0,4-3,4-3
2,Brian,John,Tanya,DNV,Ghandia,DNV,DNV,DNV,DNV,Ken,Penny,Jake,Ted,Helen,Jan,Jury Vote,Jury Vote
3,Clay,John,Tanya,DNV,Ghandia,DNV,DNV,DNV,DNV,Ken,Jake,Jake,Ted,Helen,None,Jury Vote,Jury Vote
4,Jan,John,Tanya,DNV,Clay,DNV,DNV,DNV,DNV,Ken,Penny,Jake,Ted,Helen,None,OOTG,Brian
5,Helen,Clay,Tanya,DNV,Ghandia,DNV,DNV,DNV,DNV,Ken,Penny,Jake,Ted,Jan,OOTG,OOTG,Brian
6,Ted,John,Tanya,DNV,Ghandia,DNV,DNV,DNV,DNV,Ken,Penny,Jake,Jan,OOTG,OOTG,OOTG,Brian
7,Jake,DNV,DNV,Jed,DNV,Stephanie,Robb,Shii Ann,Erin,Ted,Jan,Jan,OOTG,OOTG,OOTG,OOTG,Brian
8,Penny,DNV,DNV,Jed,DNV,Stephanie,Robb,Shii Ann,Erin,Ted,Jake,OOTG,OOTG,OOTG,OOTG,Clay,OOTG
9,Ken,DNV,DNV,Jed,DNV,Stephanie,Robb,Shii Ann,Erin,Ted,OOTG,OOTG,OOTG,OOTG,OOTG,Clay,OOTG
10,Erin,DNV,DNV,Jed,DNV,Stephanie,Robb,Shii Ann,Ken,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Clay,OOTG
11,Shii Ann,DNV,DNV,Jed,DNV,Stephanie,Robb,Penny,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
12,Robb,DNV,DNV,Shii Ann,DNV,Shii Ann,Shii Ann,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
13,Stephanie,DNV,DNV,Shii Ann,DNV,Shii Ann,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
14,Ghandia,John,Helen,DNV,Clay,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Jed,DNV,DNV,Shii Ann,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Tanya,John,Helen,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,John,Ghandia,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
