,Episode,1,2,3,4,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14,14,Unnamed: 22_level_1
0,Voted Out,So,Vince,Nina,Tie,Lindsey,Max,Joaquin,Kelly,Hali,Joe,Jenn,Shirin,Tyler,Dan,Sierra,Tie,Rodney,Will,Carolyn,Mike,OOTG
1,Vote,4-2,3-2,3-2,2-2,3-0,5-2,4-3,4-1,7-4,5-4,5-3,4-2,3-0,2-0,4-1,2-2,Tiebreaker,6-1,6-1,6-1,OOT
2,Mike,DNV,DNV,DNV,Lindsey,Lindsey,DNV,Joaquin,Jenn,Hali,Joe,Jenn,Tyler,Tyler,Dan,Sierra,Rodney,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG
3,Carolyn,So,DNV,DNV,DNV,DNV,Max,DNV,Jenn,Hali,Jenn,Jenn,Shirin,Tyler,Dan,Sierra,Rodney,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG
4,Will,DNV,Vince,Nina,DNV,DNV,Max,DNV,Hali,Hali,Jenn,Jenn,Dan,Mike,Carolyn,Sierra,Carolyn,DNV,Jury Vote,Jury Vote,Jury Vote,OOTG
5,Rodney,DNV,DNV,DNV,Sierra,None,DNV,Joe,Jenn,Hali,Joe,Shirin,Shirin,Mike,Carolyn,Sierra,Carolyn,Voted Out,Will,OOTG,OOTG,OOTG
6,Sierra,DNV,DNV,DNV,Rodney,None,DNV,Joaquin,Jenn,Hali,Joe,Shirin,Shirin,Tyler,Carolyn,Rodney,OOTG,OOTG,OOTG,Carolyn,OOTG,OOTG
7,Dan,DNV,DNV,DNV,Lindsey,Lindsey,DNV,Joaquin,Jenn,Hali,Joe,Shirin,Shirin,Mike,Carolyn,OOTG,OOTG,OOTG,OOTG,OOTG,Mike,OOTG
8,Dan,DNV,DNV,DNV,Lindsey,Lindsey,DNV,Joaquin,Jenn,Hali,Joe,Shirin,Shirin,Mike,Carolyn,OOTG,OOTG,OOTG,OOTG,OOTG,Mike,OOTG
9,Tyler,So,DNV,DNV,DNV,DNV,DNV,Joe,Jenn,Hali,Jenn,Jenn,Dan,Mike,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Mike,OOTG
10,Shirin,So,DNV,DNV,DNV,DNV,Will,DNV,Kelly,Dan,Joe,Jenn,Tyler,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Mike,OOTG
11,Jenn,DNV,Vince,Nina,DNV,DNV,Max,DNV,Kelly,Dan,Dan,Carolyn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Mike,OOTG
12,Joe,DNV,Nina,Nina,DNV,DNV,DNV,Joaquin,Kelly,Dan,Jenn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Mike,OOTG
13,Hali,DNV,Vince,Will,DNV,DNV,Max,DNV,Kelly,Dan,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,Mike,OOTG
14,Kelly,DNV,DNV,DNV,Sierra,Lindsey,Max,DNV,Jenn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
15,Joaquin,Carolyn,DNV,DNV,DNV,DNV,DNV,Joe,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
16,Max,So,DNV,DNV,DNV,DNV,Will,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
17,Lindsey,DNV,DNV,DNV,Rodney,None,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
18,Nina,DNV,Jenn,Will,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
19,Vince,DNV,Jenn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
20,So,Carolyn,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG,OOTG
